"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"90","","0","CFF sign up flow - chromium","0","0","","0"
"2","","0","NSF sign up flow - chromium","88","0","","0"
"7","","2","Default sign up flow - chromium - chromium","99","0","","0"
"0","","0","Frame comparatives - chromium","0","16","","0"
"90","","0","DPF sign up flow - chromium","0","0","","0"
"4","","0","Admin link generation - chromium","4","0","","0"
