"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"88","","2","NSF sign up flow - chromium","0","0","","0"
"90","","0","DPF sign up flow - chromium","0","0","","0"
"108","","0","Default sign up flow - chromium - chromium","0","0","","0"
"90","","0","CFF sign up flow - chromium","0","0","","0"
"0","","0","Frame comparatives - chromium","0","16","","0"
"8","","0","Admin link generation - chromium","0","0","","0"
