"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"103","","17","DPF sign up flow - chromium","36","0","","0"
"14","","14","CFF sign up flow - chromium","128","0","","0"
"1","","24","Default sign up flow - chromium - chromium","131","0","","0"
"0","","0","Frame comparatives - chromium","0","2","","0"
