"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1404","","0","CFF sign up flow - firefox","0","0","","0"
"1404","","0","NSF sign up flow - firefox","0","0","","0"
"1404","","0","DPF sign up flow - firefox","0","0","","0"
"296","","145","Default sign up flow - firefox - firefox","966","0","","0"
"0","","0","Frame comparatives - firefox","0","48","","0"
"14","","0","Admin link generation - firefox","10","0","","0"
