"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","24678","QR type - chromium","tests.tests_nsf_flow","Wed Dec 04 15:06:29 GMT 2024","passed","Wed Dec 04 15:06:54 GMT 2024","TestNSFSignUpFlow","test_nsf_sign_up_jpeg_download_welcome_modal","",""
"","27018","QR type - chromium","tests.tests_default_flow","Wed Dec 04 14:06:50 GMT 2024","passed","Wed Dec 04 14:07:17 GMT 2024","TestDefaultSignUpFlow","test_default_sign_up_jpeg_download_welcome_modal","",""
"","34619","QR type - chromium","tests.tests_dpf_flow.dpf_link_cff_flow","Wed Dec 04 15:01:30 GMT 2024","passed","Wed Dec 04 15:02:05 GMT 2024","TestCFFSignUpFlow","test_cff_sign_up_jpeg_download_from_welcome_modal","",""
"","24512","QR type - chromium","tests.tests_nsf_flow","Wed Dec 04 15:09:48 GMT 2024","failed","Wed Dec 04 15:10:13 GMT 2024","TestNSFSignUpFlow","test_nsf_sign_up_png_download_welcome_modal","",""
"","27698","QR type - chromium","tests.tests_default_flow","Wed Dec 04 14:04:52 GMT 2024","failed","Wed Dec 04 14:05:20 GMT 2024","TestDefaultSignUpFlow","test_default_sign_up_png_download_welcome_modal","",""
"","57727","QR type - chromium","tests.tests_dpf_flow.dpf_link_dpf_flow","Wed Dec 04 14:16:05 GMT 2024","passed","Wed Dec 04 14:17:02 GMT 2024","TestDPFSignUpFlow","test_dpf_sign_up_pdf_download_from_welcome_modal","",""
"","24563","QR type - chromium","tests.tests_nsf_flow","Wed Dec 04 15:01:54 GMT 2024","failed","Wed Dec 04 15:02:18 GMT 2024","TestNSFSignUpFlow","test_nsf_sign_up_jpeg_download_welcome_modal","",""
"","25586","QR type - chromium","tests.tests_nsf_flow","Wed Dec 04 15:10:27 GMT 2024","failed","Wed Dec 04 15:10:53 GMT 2024","TestNSFSignUpFlow","test_nsf_sign_up_jpeg_download_welcome_modal","",""
"","29510","QR type - chromium","tests.tests_default_flow","Wed Dec 04 14:03:28 GMT 2024","passed","Wed Dec 04 14:03:57 GMT 2024","TestDefaultSignUpFlow","test_default_sign_up_eps_download_welcome_modal","",""
"","25483","QR type - chromium","tests.tests_nsf_flow","Wed Dec 04 15:11:38 GMT 2024","passed","Wed Dec 04 15:12:04 GMT 2024","TestNSFSignUpFlow","test_nsf_sign_up_eps_download_welcome_modal","",""
