"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","","298","NSF sign up flow - chromium","91","0","","0"
"11","","37","Default sign up flow - chromium - chromium","357","0","","0"
"228","","24","CFF sign up flow - chromium","138","0","","0"
"11","","22","DPF sign up flow - chromium","357","0","","0"
"0","","0","Frame comparatives - chromium","0","5","","0"
"27","","0","Admin link generation - chromium","13","0","","0"
