"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"15","","0","NSF sign up flow - chromium","0","0","","0"
"15","","0","CFF sign up flow - chromium","0","0","","0"
"16","","0","Default sign up flow - chromium - chromium","0","0","","0"
"6","","0","DPF sign up flow - chromium","0","0","","0"
"8","","0","Admin link generation - chromium","0","0","","0"
"0","","0","Frame comparatives - chromium","0","1","","0"
