"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","2","NSF Flow - SVG Format - chromium","78","0","","0"
"0","","0","NSF Flow - SVG Format - chromium","10","0","Website QR Code Generation","0"
"0","","2","Default Sign Up Flow - PNG Format - chromium","88","0","","0"
"1","","2","CFF Flow - PDF Format - chromium","105","0","PDF Download from Welcome Modal","0"
"0","","2","DPF Flow - JPEG Format - chromium","88","0","","0"
"0","Admin Portal","0","Admin Payment Link Management - chromium","4","0","Payment Link Generation","0"
