"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test creating QR code with different methods and downloading as PNG","49350","Create whatsapp_qr_create QR code with 1024x1024 PNG download","tests.tests_default_flow","Sat Jan 04 02:04:05 GMT 2025","failed","Sat Jan 04 02:04:54 GMT 2025","TestDefaultSignUpFlowPng","test_default_sign_up_png_download_welcome_modal","",""
"
        Test verifies the sign-up flow with different QR code types:
        1. Creates QR code with specified method
        2. Completes all required steps
        3. Verifies email submission
        4. Checks successful sign-up
        5. Downloads QR code in SVG format
    ","0","Sign up flow test for facebook_qr_create with 4096x4096 resolution","tests.tests_nsf_flow","Sat Jan 04 02:04:58 GMT 2025","broken","Sat Jan 04 02:04:58 GMT 2025","TestNSFSignUpFlowSvg","test_nsf_sign_up_svg_download_welcome_modal","",""
"Verify QR code creation and PDF download functionality with different creation methods and resolutions","0","Test CFF sign up with vcard_qr_create and resolution A2","tests.tests_dpf_flow.dpf_link_cff_flow","Sat Jan 04 02:11:49 GMT 2025","broken","Sat Jan 04 02:11:49 GMT 2025","TestCFFSignUpFlowPdf","test_cff_sign_up_pdf_download_from_welcome_modal","",""
"
        Test verifies the sign-up flow with different QR code types:
        1. Creates QR code with specified method
        2. Completes all required steps
        3. Verifies email submission
        4. Checks successful sign-up
        5. Downloads QR code in SVG format
    ","0","Sign up flow test for social_media_qr_create with 1024x1024 resolution","tests.tests_nsf_flow","Sat Jan 04 01:58:57 GMT 2025","broken","Sat Jan 04 01:58:57 GMT 2025","TestNSFSignUpFlowSvg","test_nsf_sign_up_svg_download_welcome_modal","",""
"","0","test_dpf_sign_up_qr_type[-2048x2048-links_qr_create]","tests.tests_dpf_flow.dpf_link_dpf_flow","Sat Jan 04 02:13:29 GMT 2025","broken","Sat Jan 04 02:13:29 GMT 2025","TestDPFSignUpFlowJpeg","test_dpf_sign_up_jpeg_download_from_welcome_modal","",""
"Test creating QR code with different methods and downloading as PNG","57740","Create mp3_qr_create QR code with 1024x1024 PNG download","tests.tests_default_flow","Sat Jan 04 02:01:28 GMT 2025","failed","Sat Jan 04 02:02:26 GMT 2025","TestDefaultSignUpFlowPng","test_default_sign_up_png_download_welcome_modal","",""
"","0","test_dpf_sign_up_website_qr_type[-512x512-website_qr_create]","tests.tests_dpf_flow.dpf_link_dpf_flow","Sat Jan 04 02:19:01 GMT 2025","broken","Sat Jan 04 02:19:01 GMT 2025","TestDPFSignUpFlowJpeg","test_dpf_sign_up_jpeg_download_from_welcome_modal","",""
"","0","test_dpf_sign_up_qr_type[-Default-mp3_qr_create]","tests.tests_dpf_flow.dpf_link_dpf_flow","Sat Jan 04 02:06:47 GMT 2025","broken","Sat Jan 04 02:06:47 GMT 2025","TestDPFSignUpFlowJpeg","test_dpf_sign_up_jpeg_download_from_welcome_modal","",""
"
    Verify QR code creation for website and menu links:
    - Create QR code using specified method
    - Complete sign up process
    - Download PDF with different resolutions
    ","0","Test website QR creation with menu_link_qr_create and resolution A2","tests.tests_dpf_flow.dpf_link_cff_flow","Sat Jan 04 02:17:17 GMT 2025","broken","Sat Jan 04 02:17:17 GMT 2025","TestCFFSignUpFlowPdf","test_cff_sign_up_pdf_download_from_welcome_modal","",""
"Test creating QR code with different methods and downloading as PNG","40410","Create apps_qr_create QR code with 512x512 PNG download","tests.tests_default_flow","Sat Jan 04 02:02:35 GMT 2025","passed","Sat Jan 04 02:03:16 GMT 2025","TestDefaultSignUpFlowPng","test_default_sign_up_png_download_welcome_modal","",""
"Verify QR code creation and PDF download functionality with different creation methods and resolutions","0","Test CFF sign up with menu_pdf_qr_create and resolution A2","tests.tests_dpf_flow.dpf_link_cff_flow","Sat Jan 04 02:09:47 GMT 2025","broken","Sat Jan 04 02:09:47 GMT 2025","TestCFFSignUpFlowPdf","test_cff_sign_up_pdf_download_from_welcome_modal","",""
"Test creating QR code with different methods and downloading as PNG","50757","Create mp3_qr_create QR code with 2048x2048 PNG download","tests.tests_default_flow","Sat Jan 04 02:06:44 GMT 2025","passed","Sat Jan 04 02:07:34 GMT 2025","TestDefaultSignUpFlowPng","test_default_sign_up_png_download_welcome_modal","",""
"Verify QR code creation and PDF download functionality with different creation methods and resolutions","0","Test CFF sign up with wifi_qr_create and resolution A3","tests.tests_dpf_flow.dpf_link_cff_flow","Sat Jan 04 02:09:40 GMT 2025","broken","Sat Jan 04 02:09:40 GMT 2025","TestCFFSignUpFlowPdf","test_cff_sign_up_pdf_download_from_welcome_modal","",""
"
        Test verifies the sign-up flow with different QR code types:
        1. Creates QR code with specified method
        2. Completes all required steps
        3. Verifies email submission
        4. Checks successful sign-up
        5. Downloads QR code in SVG format
    ","0","Sign up flow test for instagram_qr_create with 512x512 resolution","tests.tests_nsf_flow","Sat Jan 04 01:54:50 GMT 2025","broken","Sat Jan 04 01:54:50 GMT 2025","TestNSFSignUpFlowSvg","test_nsf_sign_up_svg_download_welcome_modal","",""
"Verify QR code creation and PDF download functionality with different creation methods and resolutions","0","Test CFF sign up with menu_digital_qr_create and resolution A4","tests.tests_dpf_flow.dpf_link_cff_flow","Sat Jan 04 02:01:30 GMT 2025","broken","Sat Jan 04 02:01:30 GMT 2025","TestCFFSignUpFlowPdf","test_cff_sign_up_pdf_download_from_welcome_modal","",""
"","0","test_dpf_sign_up_qr_type[-512x512-mp3_qr_create]","tests.tests_dpf_flow.dpf_link_dpf_flow","Sat Jan 04 02:07:23 GMT 2025","broken","Sat Jan 04 02:07:23 GMT 2025","TestDPFSignUpFlowJpeg","test_dpf_sign_up_jpeg_download_from_welcome_modal","",""
"
        Test verifies the sign-up flow with different QR code types:
        1. Creates QR code with specified method
        2. Completes all required steps
        3. Verifies email submission
        4. Checks successful sign-up
        5. Downloads QR code in SVG format
    ","0","Sign up flow test for links_qr_create with 512x512 resolution","tests.tests_nsf_flow","Sat Jan 04 01:58:50 GMT 2025","broken","Sat Jan 04 01:58:50 GMT 2025","TestNSFSignUpFlowSvg","test_nsf_sign_up_svg_download_welcome_modal","",""
"","0","test_dpf_sign_up_qr_type[-1024x1024-instagram_qr_create]","tests.tests_dpf_flow.dpf_link_dpf_flow","Sat Jan 04 02:08:48 GMT 2025","broken","Sat Jan 04 02:08:48 GMT 2025","TestDPFSignUpFlowJpeg","test_dpf_sign_up_jpeg_download_from_welcome_modal","",""
