"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","12","Default Sign Up Flow - PNG Format - firefox","78","0","","0"
"108","","0","CFF Flow - PDF Format - firefox","0","0","PDF Download from Welcome Modal","0"
"90","","0","DPF Flow - JPEG Format - firefox","0","0","","0"
"80","","0","NSF Flow - SVG Format - firefox","0","0","","0"
"10","","0","NSF Flow - SVG Format - firefox","0","0","Website QR Code Generation","0"
"0","Admin Portal","0","Admin Payment Link Management - firefox","4","0","Payment Link Generation","0"
